SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,421 Heliotrope Ave,Corona del Mar,CA,92625,4185000,4,3.5,CS - Corona Del Mar - Spyglass,3220,3540,2008,1,1300,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/421-Heliotrope-Ave-92625/home/4732058,CRMLS,NP20105765,N,Y,33.5989825,-117.8738023
MLS Listing,,Single Family Residential,11 Seahaven,Newport Coast,CA,92657,4250000,4,3.5,N26 - Newport Coast,4501,14000,1993,1,944,770,Active,,,http://www.redfin.com/CA/Newport-Coast/11-Seahaven-92657/home/4749087,CRMLS,OC20105443,N,Y,33.6017899,-117.827719
MLS Listing,,Condo/Co-op,106 Lessay,Newport Coast,CA,92657,1299000,3,2.5,N26 - Newport Coast,1716,,1995,1,757,313,Active,,,http://www.redfin.com/CA/Newport-Coast/106-Lessay-92657/home/5529587,CRMLS,OC20104821,N,Y,33.6099381,-117.835166
MLS Listing,,Single Family Residential,2 Water Prt,Newport Coast,CA,92657,7800000,4,4.5,CR - Crystal Cove,5200,12726,2017,1,1500,725,Active,,,http://www.redfin.com/CA/Newport-Coast/2-Water-Prt-92657/home/7217459,CRMLS,NP20104920,N,Y,33.5835184,-117.822555
MLS Listing,,Single Family Residential,516 Marigold Ave,Corona del Mar,CA,92625,1799000,2,1.0,CS - Corona Del Mar - Spyglass,762,3540,1948,1,2361,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/516-Marigold-Ave-92625/home/4732455,CRMLS,NP20104784,N,Y,33.5972524,-117.8683105
MLS Listing,,Single Family Residential,327 Marigold Ave,Corona del Mar,CA,92625,3350000,3,2.5,CS - Corona Del Mar - Spyglass,2155,3540,1985,1,1555,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/327-Marigold-Ave-92625/home/3255677,CRMLS,OC20104653,N,Y,33.5953656,-117.8707598
MLS Listing,,Single Family Residential,2286 Channel Rd,Newport Beach,CA,92661,6995000,5,3.25,NP - Balboa Peninsula,3542,3500,1950,1,1975,,Active,,,http://www.redfin.com/CA/Newport-Beach/2286-Channel-Rd-92661/home/3241533,CRMLS,NP20104640,N,Y,33.596304,-117.882079
MLS Listing,,Single Family Residential,423 1/2 Poinsettia Ave,Corona del Mar,CA,92625,1795000,2,2.5,CS - Corona Del Mar - Spyglass,1393,3540,2020,1,1289,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/720-1-2-Poinsettia-Ave-92625/home/4732551,CRMLS,NP20104405,N,Y,33.5973885,-117.864271
MLS Listing,,Single Family Residential,15 Giverny,Newport Coast,CA,92657,1796000,3,2.5,N26 - Newport Coast,2473,4500,1994,1,726,423,Active,,,http://www.redfin.com/CA/Newport-Coast/15-Giverny-92657/home/4735265,CRMLS,LG20101852,N,Y,33.6119049,-117.8392249
MLS Listing,,Condo/Co-op,164 Villa Point Dr,Newport Beach,CA,92660,649000,1,1.0,NV - East Bluff - Harbor View,792,,1990,1,819,450,Active,,,http://www.redfin.com/CA/Newport-Beach/164-Villa-Point-Dr-92660/home/5723698,CRMLS,NP20098585,N,Y,33.6131184,-117.8873113
MLS Listing,,Single Family Residential,16 Highpoint,Newport Coast,CA,92657,3900000,3,3.5,N26 - Newport Coast,3735,8869,2004,1,1044,485,Active,,,http://www.redfin.com/CA/Newport-Coast/16-Highpoint-92657/home/5928243,CRMLS,OC20103474,N,Y,33.6009034,-117.8082226
MLS Listing,,Single Family Residential,42 Timor Sea,Newport Coast,CA,92657,7350000,4,4.5,CR - Crystal Cove,4217,8817,2001,3,1743,700,Active,,,http://www.redfin.com/CA/Newport-Coast/42-Timor-Sea-92657/home/5811304,CRMLS,NP20103569,N,Y,33.5748684,-117.8351953
