SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,258 Windy Ln,Tustin,CA,92782,739000,3,3.0,TF - Tustin Field,1610,,2004,1,459,226,Active,,,http://www.redfin.com/CA/Tustin/258-Windy-Ln-92782/home/5981987,CRMLS,OC20104487,N,Y,33.7030744,-117.8020398
MLS Listing,,Condo/Co-op,17 Woodgrove,Irvine,CA,92604,895000,2,2.0,WB - Woodbridge,1451,,1979,1,617,396,Active,,,http://www.redfin.com/CA/Irvine/17-Woodgrove-92604/unit-16/home/5536522,CRMLS,LG20100053,N,Y,33.6809948,-117.7924935
MLS Listing,,Single Family Residential,14792 Waverly Ln,Irvine,CA,92604,688888,2,1.5,EC - El Camino Real,800,5011,1973,1,861,,Active,,,http://www.redfin.com/CA/Irvine/14792-Waverly-Ln-92604/home/4669717,CRMLS,OC20103672,N,Y,33.6948884,-117.7814472
MLS Listing,,Single Family Residential,15322 TOURAINE Way,Irvine,CA,92604,1250230,5,2.75,EC - El Camino Real,3086,6000,1969,1,405,,Active,,,http://www.redfin.com/CA/Irvine/15322-Touraine-Way-92604/home/4680263,CRMLS,OC20094202,N,Y,33.6835971,-117.7795969
MLS Listing,,Single Family Residential,22 Augusta,Irvine,CA,92620,765000,3,3.0,NW - Northwood,1273,3500,1985,3,601,98,Active,,,http://www.redfin.com/CA/Irvine/22-Augusta-92620/home/4782961,CRMLS,OC20103769,N,Y,33.707695,-117.7733054
MLS Listing,,Condo/Co-op,24 Lakeview #90,Irvine,CA,92604,1149000,4,3.0,WB - Woodbridge,2285,2090,1977,3,503,548,Active,,,http://www.redfin.com/CA/Irvine/24-Lakeview-92604/unit-90/home/5470365,CRMLS,PW20101810,N,Y,33.682945,-117.793557
MLS Listing,,Single Family Residential,14962 Piper Cir,Irvine,CA,92604,988000,4,3.0,EC - El Camino Real,2405,4900,1974,3,411,65,Active,,,http://www.redfin.com/CA/Irvine/14962-Piper-Cir-92604/home/4673903,CRMLS,OC20099245,N,Y,33.6968359,-117.7889408
MLS Listing,,Condo/Co-op,141 Kazan St #1,Irvine,CA,92604,419000,2,1.5,WN - Walnut (Irvine),862,1000,1971,3,486,355,Active,,,http://www.redfin.com/CA/Irvine/141-Kazan-St-92604/unit-1/home/5329808,CRMLS,CV20100489,N,Y,33.6923457,-117.7749165
MLS Listing,,Single Family Residential,14751 Deer Park St,Irvine,CA,92604,949900,4,3.0,EC - El Camino Real,2089,5000,1972,4,455,65,Active,,,http://www.redfin.com/CA/Irvine/14751-Deer-Park-St-92604/home/4667766,CRMLS,OC20098355,N,Y,33.7017942,-117.7900859
MLS Listing,,Condo/Co-op,133 Sapphire,Irvine,CA,92602,699800,3,2.5,WI - West Irvine,1500,,2001,4,467,250,Active,,,http://www.redfin.com/CA/Irvine/133-Sapphire-92602/unit-21/home/5885013,CRMLS,OC20102677,N,Y,33.7303062,-117.7772448
