SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,22652 Spring Lake Ln,Lake Forest,CA,92630,720000,3,2.0,LS - Lake Forest South,1339,3000,1973,15,538,235,Active,,,http://www.redfin.com/CA/Lake-Forest/22652-Spring-Lake-Ln-92630/home/4837127,CRMLS,OC20094637,N,Y,33.6341309,-117.706232
MLS Listing,,Single Family Residential,21102 Cantebury Ln,Lake Forest,CA,92630,989900,4,3.0,LN - Lake Forest North,2814,6000,1989,26,352,112,Active,,,http://www.redfin.com/CA/Lake-Forest/21102-Cantebury-Ln-92630/home/4817936,CRMLS,OC20079613,N,Y,33.6559269,-117.6616125
MLS Listing,,Single Family Residential,24185 Okeechobee Ln,Lake Forest,CA,92630,784900,4,2.5,LS - Lake Forest South,1850,3300,1976,36,424,306,Active,,,http://www.redfin.com/CA/Lake-Forest/24185-Okeechobee-Ln-92630/home/4822243,CRMLS,OC20078049,N,Y,33.6470433,-117.7088152
MLS Listing,,Condo/Co-op,20991 Calistoga #58,Lake Forest,CA,92630,434999,2,1.25,LN - Lake Forest North,933,,1987,47,466,363,Active,,,http://www.redfin.com/CA/Lake-Forest/20991-Calistoga-92630/unit-58/home/5740853,CRMLS,OC20072925,N,Y,33.6579664,-117.684823
MLS Listing,,Condo/Co-op,26401 Kilkarney #13,Lake Forest,CA,92630,508000,3,2.0,LN - Lake Forest North,1208,,1986,67,421,363,Active,,,http://www.redfin.com/CA/Lake-Forest/26401-Kilkarney-92630/unit-13/home/5673599,CRMLS,OC20063650,N,Y,33.6586186,-117.6695345
MLS Listing,,Single Family Residential,228 Pinnacle Dr,Lake Forest,CA,92630,1388888,5,4.0,FH - Foothill Ranch,3162,3619,2018,1,439,211,Active,,,http://www.redfin.com/CA/Lake-Forest/228-Pinnacle-Dr-92630/home/143912599,CRMLS,OC20105612,N,Y,33.6679037,-117.6542153
MLS Listing,,Condo/Co-op,23304 Orange Ave #5,Lake Forest,CA,92630,350000,2,2.0,LS - Lake Forest South,1012,1500,1980,1,346,346,Active,,,http://www.redfin.com/CA/Lake-Forest/23304-Orange-Ave-92630/unit-5/home/5597118,CRMLS,OC20105110,N,Y,33.6231132,-117.6918378
MLS Listing,,Single Family Residential,18 Santa Maria,Lake Forest,CA,92610,1215000,5,3.5,FH - Foothill Ranch,3200,5550,1994,1,380,84,Active,,,http://www.redfin.com/CA/Foothill-Ranch/18-Santa-Maria-92610/home/4798372,CRMLS,OC20101616,N,Y,33.6873174,-117.6603749
MLS Listing,,Single Family Residential,21 Sorrel,Lake Forest,CA,92630,2580000,5,5.5,BK - Baker Ranch,4045,5912,2016,1,638,164,Active,,,http://www.redfin.com/CA/Lake-Forest/21-Sorrel-92630/home/112722475,CRMLS,OC20103605,N,Y,33.6721938,-117.6765536
MLS Listing,,Townhouse,19601 Orviento Dr,Lake Forest,CA,92679,479999,2,2.0,PH - Portola Hills,1085,200,1997,1,442,200,Active,,,http://www.redfin.com/CA/Portola-Hills/19601-Orviento-Dr-92679/home/5343692,CRMLS,OC20104431,N,Y,33.6763814,-117.6333777
MLS Listing,,Single Family Residential,19 Heron,Lake Forest,CA,92630,1227000,5,4.0,BK - Baker Ranch,2717,3375,2016,1,452,158,Active,,,http://www.redfin.com/CA/Lake-Forest/19-Heron-92630/home/112725583,CRMLS,CV20103520,N,Y,33.6741491,-117.6793034
MLS Listing,,Single Family Residential,26151 Roscommon Ct,Lake Forest,CA,92630,769900,3,2.5,LN - Lake Forest North,1594,4000,1985,1,483,67,Active,,,http://www.redfin.com/CA/Lake-Forest/26151-Roscommon-Ct-92630/home/4817082,CRMLS,OC20104154,N,Y,33.6525146,-117.6747204
MLS Listing,,Single Family Residential,26985 Brighton Ln,Lake Forest,CA,92630,945000,4,3.0,LN - Lake Forest North,2655,6000,1987,2,356,112,Active,,,http://www.redfin.com/CA/Lake-Forest/26985-Brighton-Ln-92630/home/4818067,CRMLS,OC20104081,N,Y,33.6594509,-117.6592978
MLS Listing,,Townhouse,28951 Canyon Oak Dr,Lake Forest,CA,92679,449900,2,1.25,PH - Portola Hills,833,200,1986,2,540,368,Active,,,http://www.redfin.com/CA/Trabuco-Canyon/28951-Canyon-Oak-Dr-92679/unit-8/home/5675426,CRMLS,OC20103900,N,Y,33.6868893,-117.6254593
MLS Listing,,Single Family Residential,29051 Modjeska Peak Ln,Lake Forest,CA,92679,899000,5,3.0,PH - Portola Hills,2500,9350,1986,2,360,144,Active,,,http://www.redfin.com/CA/Trabuco-Canyon/29051-Modjeska-Peak-Ln-92679/home/4804117,CRMLS,OC20101518,N,Y,33.680827,-117.6241626
MLS Listing,,Condo/Co-op,38 Mission Ct,Lake Forest,CA,92610,605000,3,2.5,FH - Foothill Ranch,1371,1000,1995,2,441,311,Active,,,http://www.redfin.com/CA/Foothill-Ranch/38-Mission-Ct-92610/home/5248781,CRMLS,OC20099816,N,Y,33.6856537,-117.6735522
MLS Listing,,Single Family Residential,60 La Perla,Lake Forest,CA,92610,1025000,5,3.0,FH - Foothill Ranch,2684,5858,1993,3,382,84,Active,,,http://www.redfin.com/CA/Foothill-Ranch/60-La-Perla-92610/home/4798199,CRMLS,OC20068859,N,Y,33.6900118,-117.6602374
MLS Listing,,Condo/Co-op,20702 El Toro Rd #33,Lake Forest,CA,92630,274900,1,1.0,LN - Lake Forest North,700,,1980,3,393,357,Active,,,http://www.redfin.com/CA/Lake-Forest/20702-El-Toro-Rd-92630/unit-33/home/5654313,CRMLS,PW20103694,N,Y,33.6594547,-117.6500126
MLS Listing,,Single Family Residential,23812 Boeing Ln,Lake Forest,CA,92630,760000,4,2.5,LS - Lake Forest South,1867,6240,1971,3,407,,Active,,,http://www.redfin.com/CA/Lake-Forest/23812-Boeing-Ln-92630/home/4835839,CRMLS,OC20103507,N,Y,33.6279923,-117.7145429
MLS Listing,,Single Family Residential,22572 Claude Cir,Lake Forest,CA,92630,660000,3,2.0,LS - Lake Forest South,1471,5000,1972,4,449,71,Active,,,http://www.redfin.com/CA/Lake-Forest/22572-Claude-Cir-92630/home/4823605,CRMLS,IV20102672,N,Y,33.6351349,-117.6842071
