SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,16 Brookhollow,Irvine,CA,92602,915000,4,2.5,WI - West Irvine,1953,3060,1999,1,469,,Active,,,http://www.redfin.com/CA/Irvine/16-Brookhollow-92602/home/4793953,CRMLS,OC20093367,N,Y,33.7410869,-117.770619
MLS Listing,,Single Family Residential,17 Larchwood,Irvine,CA,92602,1160000,3,3.0,NK - Northpark,2300,3488,2001,1,504,199,Active,,,http://www.redfin.com/CA/Irvine/17-Larchwood-92602/home/5813288,CRMLS,OC20104823,N,Y,33.7385318,-117.7662215
MLS Listing,,Single Family Residential,61 Thoroughbred,Irvine,CA,92602,1389888,4,3.0,OH - Orchard Hills,2547,3690,2017,1,546,196,Active,,,http://www.redfin.com/CA/Irvine/61-Thoroughbred-92602/home/112718666,CRMLS,OC20104499,N,Y,33.7385462,-117.7530741
MLS Listing,,Single Family Residential,16 Robins Tree Ln,Irvine,CA,92602,868800,3,2.5,WI - West Irvine,1651,3060,1999,2,526,,Active,,,http://www.redfin.com/CA/Irvine/16-Robinstree-92602/home/4793895,CRMLS,OC20103122,N,Y,33.7415213,-117.7709854
MLS Listing,,Condo/Co-op,105 Tritone #72,Irvine,CA,92602,1137457,3,2.5,OH - Orchard Hills,2087,3271,2020,4,545,299,Active,,,http://www.redfin.com/CA/Irvine/105-Tritone-92602/unit-72/home/171939882,CRMLS,NP20102838,N,Y,33.734437,-117.74305
MLS Listing,,Condo/Co-op,106 Tritone #66,Irvine,CA,92602,1152660,3,2.5,OH - Orchard Hills,2087,3189,2020,4,552,299,Active,,,http://www.redfin.com/CA/Irvine/106-Tritone-92602/unit-66/home/171939812,CRMLS,NP20102825,N,Y,33.7339673,-117.7430513
MLS Listing,,Single Family Residential,30 Shadybend,Irvine,CA,92602,2099000,4,4.5,OH - Orchard Hills,4209,5459,2014,5,499,289,Active,,,http://www.redfin.com/CA/Irvine/30-Shadybend-92602/home/58553618,CRMLS,OC20101680,N,Y,33.7452975,-117.7640685
MLS Listing,,Single Family Residential,137 Talmadge,Irvine,CA,92602,677000,2,2.0,NK - Northpark,1561,2000,2001,8,434,391,Active,,,http://www.redfin.com/CA/Irvine/137-Talmadge-92602/home/5889860,CRMLS,OC20099747,N,Y,33.7359048,-117.7695557
MLS Listing,,Townhouse,30 Ardmore,Irvine,CA,92602,759888,3,2.5,WI - West Irvine,1574,,2000,12,483,262,Active,,,http://www.redfin.com/CA/Irvine/30-Ardmore-92602/home/5844911,CRMLS,PW20092139,N,Y,33.7444439,-117.770144
MLS Listing,,Single Family Residential,51 Outlaw,Irvine,CA,92602,1250000,4,4.0,OH - Orchard Hills,2435,,2015,14,513,196,Active,,,http://www.redfin.com/CA/Irvine/51-Outlaw-92602/home/112729355,CRMLS,OC20094457,N,Y,33.7344686,-117.7577125
MLS Listing,,Townhouse,12709 Trent Jones Ln,Tustin,CA,92782,785000,3,2.5,89 - Tustin Ranch,1848,,1993,18,425,460,Active,,,http://www.redfin.com/CA/Tustin/12709-Trent-Jones-Ln-92782/home/5430759,CRMLS,PW20093044,N,Y,33.7347614,-117.7815894
MLS Listing,,Single Family Residential,2 Spanish Moss,Irvine,CA,92602,2250000,4,4.5,OH - Orchard Hills,4355,7880,2015,18,517,289,Active,,,http://www.redfin.com/CA/Irvine/2-Spanish-Moss-92602/home/58553589,CRMLS,OC20092686,N,Y,33.7449916,-117.7635875
MLS Listing,,Single Family Residential,11 Calais,Irvine,CA,92602,1339000,5,2.5,WI - West Irvine,2876,5084,2001,18,466,65,Active,,,http://www.redfin.com/CA/Irvine/11-Calais-92602/home/5814001,CRMLS,PW20084292,N,Y,33.7355478,-117.7779937
MLS Listing,,Condo/Co-op,99 Ardmore,Irvine,CA,92602,640000,2,2.0,WI - West Irvine,1277,,1999,19,501,224,Active,,,http://www.redfin.com/CA/Irvine/99-Ardmore-92602/home/5794594,CRMLS,PW20091767,N,Y,33.7450071,-117.7691578
MLS Listing,,Single Family Residential,20 Oak Barrel,Irvine,CA,92602,1959000,4,4.5,OH - Orchard Hills,3628,4750,2015,20,540,289,Active,,,http://www.redfin.com/CA/Irvine/20-Oak-Barrel-92602/home/58551902,CRMLS,OC20089806,N,Y,33.7361959,-117.7590645
MLS Listing,,Single Family Residential,117 Crosswinds,Irvine,CA,92602,4299000,5,5.5,OH - Orchard Hills,5304,8649,2016,20,811,279,Active,,,http://www.redfin.com/CA/Irvine/117-Crosswinds-92602/home/103690984,CRMLS,NP20091157,N,Y,33.7424127,-117.7584924
MLS Listing,,Condo/Co-op,116 Crescent Moon,Irvine,CA,92602,789900,2,2.5,OH - Orchard Hills,1501,,2017,20,526,385,Active,,,http://www.redfin.com/CA/Irvine/116-Crescent-Moon-92602/home/112729727,CRMLS,PW20090016,N,Y,33.7362815,-117.749401
