SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,31 Kelsey,Irvine,CA,92618,968000,4,2.5,OC - Oak Creek,2154,4937,1999,4,449,149,Active,,,http://www.redfin.com/CA/Irvine/31-Kelsey-92618/home/5766353,CRMLS,OC20102422,N,Y,33.6610277,-117.7806046
MLS Listing,,Single Family Residential,24185 Okeechobee Ln,Lake Forest,CA,92630,784900,4,2.5,LS - Lake Forest South,1850,3300,1976,36,424,306,Active,,,http://www.redfin.com/CA/Lake-Forest/24185-Okeechobee-Ln-92630/home/4822243,CRMLS,OC20078049,N,Y,33.6470433,-117.7088152
MLS Listing,,Condo/Co-op,2329 Watermarke Pl,Irvine,CA,92612,401000,1,1.0,AA - Airport Area,648,,2003,43,619,342,Active,,,http://www.redfin.com/CA/Irvine/2329-Watermarke-Pl-92612/home/5980907,CRMLS,OC20075316,N,Y,33.6653482,-117.8514144
MLS Listing,,Single Family Residential,19461 Sierra Lago Rd,Irvine,CA,92603,1499800,4,2.5,TR - Turtle Rock,2016,7600,1970,66,744,108,Active,,,http://www.redfin.com/CA/Irvine/19461-Sierra-Lago-Rd-92603/home/4739935,CRMLS,OC20064369,N,Y,33.6352802,-117.8244113
MLS Listing,,Condo/Co-op,2279 Scholarship,Irvine,CA,92612,415000,1,1.0,AA - Airport Area,610,650,2015,88,680,253,Active,,,http://www.redfin.com/CA/Irvine/2279-Scholarship-92612/home/12252487,CRMLS,OC20049812,N,Y,33.6665566,-117.8520818
MLS Listing,,Single Family Residential,10 Charlotte,Irvine,CA,92603,3699900,5,5.5,TR - Turtle Rock,5361,14000,1992,88,690,680,Active,,,http://www.redfin.com/CA/Irvine/10-Charlotte-92603/home/4745760,CRMLS,OC20048268,N,Y,33.6455546,-117.8063678
MLS Listing,,Townhouse,15 Dewberry Way,Irvine,CA,92612,889000,4,3.0,UP - University Park,2157,3200,1968,1,412,185,Active,,,http://www.redfin.com/CA/Irvine/15-Dewberry-Way-92612/home/4702118,CRMLS,PW20076655,N,Y,33.6594565,-117.8227627
MLS Listing,,Condo/Co-op,207 Danbrook,Irvine,CA,92603,659000,2,2.0,TRG - Turtle Ridge,1268,,2003,1,520,282,Active,,,http://www.redfin.com/CA/Irvine/207-Danbrook-92603/home/5944125,CRMLS,CV20105420,N,Y,33.626954,-117.8304151
MLS Listing,,Condo/Co-op,3103 Scholarship,Irvine,CA,92612,1268000,2,2.5,AA - Airport Area,1715,,2008,1,739,1296,Active,,,http://www.redfin.com/CA/Irvine/3103-Scholarship-92612/home/21930289,CRMLS,OC20102810,N,Y,33.667131,-117.85241
MLS Listing,,Condo/Co-op,82 Gingerwood,Irvine,CA,92603,799000,2,2.0,TRG - Turtle Ridge,1622,,2003,1,493,275,Active,,,http://www.redfin.com/CA/Irvine/82-Gingerwood-92603/home/5944200,CRMLS,NP20104792,N,Y,33.6261083,-117.8276855
MLS Listing,,Condo/Co-op,3250 Watermarke Pl,Irvine,CA,92612,799999,3,2.0,,1452,,2003,1,551,402,Active,,,http://www.redfin.com/CA/Irvine/3250-Watermarke-Pl-92612/home/5952342,SDMLS,200024985,N,Y,33.6661415,-117.8508048
MLS Listing,,Townhouse,12 Misty Shadow,Irvine,CA,92603,718800,2,2.0,TR - Turtle Rock,1090,,1980,1,659,335,Active,,,http://www.redfin.com/CA/Irvine/12-Misty-Shadow-92603/unit-1/home/5284960,CRMLS,OC20104099,N,Y,33.6332519,-117.8019629
MLS Listing,,Condo/Co-op,132 Anthology,Irvine,CA,92618,797110,3,2.25,PS - Portola Springs,1646,,2020,1,484,248,Active,,,http://www.redfin.com/CA/Irvine/132-Anthology-92618/home/171957196,CRMLS,OC20101881,N,Y,33.665242,-117.7490656
MLS Listing,,Condo/Co-op,2 Los Gatos #19,Irvine,CA,92612,1059000,2,2.5,TR - Turtle Rock,1839,,1984,2,576,498,Active,,,http://www.redfin.com/CA/Irvine/2-Los-Gatos-92612/unit-19/home/5497332,CRMLS,OC20102651,N,Y,33.6487854,-117.7997116
MLS Listing,,Condo/Co-op,278 Lemon Grv,Irvine,CA,92618,518800,2,2.5,OT - Orangetree,1200,,1983,2,432,402,Active,,,http://www.redfin.com/CA/Irvine/278-Lemon-Grv-92618/home/5260318,CRMLS,OC20103925,N,Y,33.6692111,-117.7741275
MLS Listing,,Single Family Residential,16 Featherwood,Irvine,CA,92612,829000,3,2.0,UP - University Park,1400,5650,1976,4,592,234,Active,,,http://www.redfin.com/CA/Irvine/16-Featherwood-92612/home/4711218,CRMLS,OC20101702,N,Y,33.6609763,-117.8002078
MLS Listing,,Condo/Co-op,14 Columbia,Irvine,CA,92612,599000,2,1.0,UT - University Town Center,981,,1982,5,611,322,Active,,,http://www.redfin.com/CA/Irvine/14-Columbia-92612/unit-6/home/5678986,CRMLS,OC20102473,N,Y,33.6512501,-117.8275413
MLS Listing,,Condo/Co-op,5077 Scholarship,Irvine,CA,92612,680000,1,1.5,AA - Airport Area,1335,,2007,5,509,1026,Active,,,http://www.redfin.com/CA/Irvine/5077-Scholarship-92612/home/12252822,CRMLS,OC20100856,N,Y,33.6666358,-117.8528599
MLS Listing,,Condo/Co-op,33 Fallingstar #22,Irvine,CA,92614,595000,2,2.0,WB - Woodbridge,1227,,1984,5,485,395,Active,,,http://www.redfin.com/CA/Irvine/33-Fallingstar-92614/unit-22/home/5668627,CRMLS,PW20100436,N,Y,33.6651686,-117.7962042
MLS Listing,,Condo/Co-op,131 Oxford #41,Irvine,CA,92612,628000,2,2.5,UT - University Town Center,1242,,1983,5,506,322,Active,,,http://www.redfin.com/CA/Irvine/131-Oxford-92612/unit-41/home/5679144,CRMLS,AR20101675,N,Y,33.6512501,-117.8275413
MLS Listing,,Condo/Co-op,5 Pearleaf,Irvine,CA,92618,810000,3,3.0,OC - Oak Creek,1548,,2000,6,523,177,Active,,,http://www.redfin.com/CA/Irvine/5-Pearleaf-92618/home/5841486,CRMLS,PW20101117,N,Y,33.6692367,-117.7822206
MLS Listing,,Townhouse,4 Montanas Sud,Irvine,CA,92612,909090,3,3.5,SJ - Rancho San Joaquin,1935,,1974,6,470,486,Active,,,http://www.redfin.com/CA/Irvine/4-Montanas-Sud-92612/unit-58/home/5425017,CRMLS,OC20099604,N,Y,33.6587808,-117.8314503
MLS Listing,,Condo/Co-op,83 Greenmoor #33,Irvine,CA,92614,598000,2,2.0,WB - Woodbridge,1227,,1984,6,487,395,Active,,,http://www.redfin.com/CA/Irvine/83-Greenmoor-92614/unit-33/home/5250076,CRMLS,OC20096366,N,Y,33.6656401,-117.7997849
MLS Listing,,Condo/Co-op,119 Reunion,Irvine,CA,92603,775000,2,2.0,QH - Quail Hill,1495,2500,2004,7,518,256,Active,,,http://www.redfin.com/CA/Irvine/119-Reunion-92603/home/5982146,CRMLS,OC20100372,N,Y,33.650621,-117.772493
MLS Listing,,Townhouse,30 Palmento Way,Irvine,CA,92612,750000,3,2.0,UP - University Park,1494,3200,1966,7,502,210,Active,,,http://www.redfin.com/CA/Irvine/30-Palmento-Way-92612/home/4699312,CRMLS,OC20100386,N,Y,33.6660078,-117.8210912
MLS Listing,,Townhouse,32 Palmento Way,Irvine,CA,92612,800000,3,2.5,UP - University Park,1749,3200,1966,7,457,210,Active,,,http://www.redfin.com/CA/Irvine/32-Palmento-Way-92612/home/4699313,CRMLS,OC20100146,N,Y,33.6659495,-117.8209996
MLS Listing,,Condo/Co-op,1240 Scholarship,Irvine,CA,92612,402000,1,1.0,AA - Airport Area,734,,2006,7,548,304,Active,,,http://www.redfin.com/CA/Irvine/1240-Scholarship-92612/home/12252577,CRMLS,OC20052867,N,Y,33.6684958,-117.8512857
MLS Listing,,Single Family Residential,5782 Southall Ter,Irvine,CA,92603,2258000,4,2.5,TR - Turtle Rock,2646,10220,1972,9,853,152,Active,,,http://www.redfin.com/CA/Irvine/5782-Southall-Ter-92603/home/4741452,CRMLS,RS20099233,N,Y,33.6338752,-117.8172674
